perf,my_code
-0.00250811983373884,005930
-0.00451882522507165,000660
-0.00391551098760921,035420
-0.00833482037589503,207940
-0.00167156672333857,051910
-0.000100675048757592,005935
-6.18601745696083e-05,005380
-0.00882239243381562,068270
0.00098840128106695,006400
0.00125435215997932,035720
-0.000758698260438634,051900
0.0056250959673564,012330
-0.00155157125525214,028260
0.00184618200117987,000270
-0.000162684889625401,005490
0.00060745682918786,105560
0.000728655925389548,017670
,036570
0.00124002965494448,055550
-0.0028042961061733,066570
-0.0038992350406753,018260
0.000586445410000339,015760
-0.00413364947424685,034730
0.00132082232140082,032830
0.00279585883761465,003550
-0.000103678494023653,033780
-0.00485982720606353,096770
0.00424850654737487,251270
0.002433946084458,009150
0.00418329490594959,086790
-0.00442535106089714,090430
0.000659711020728277,000810
0.00457766855878534,011170
-0.00160786483746296,009830
0.000441617521091855,010130
-0.00128160722021279,019170
9.59095239347436e-05,316140
-0.00190287018001901,086280
2.94678222723851e-05,024110
-0.0022318118130519,010950
-0.00277893351621528,018880
0.0001739051732215,030200
-0.00868324141568982,009540
0.000101743844084703,006800
-0.000467675759513497,097950
-0.00487879329134846,021240
0.0029037503740582,034220
,032640
,069500
0.0119669994380887,180640
-0.00448973050162918,003670
0.0022512484137393,035250
-0.00261183728275429,271560
-0.00378596800251449,139480
0.0066931462405263,161390
0.0128566000303839,285130
0.00420743417027636,011780
0.00307413652848004,000100
-0.00494918531830813,004020
0.000623633534065582,071050
,088980
-0.00677991112000936,000120
1.74320854932109e-05,029780
0.00781307278582038,002790
-0.00469384800623082,011070
-0.000951682702232442,008930
0.00157104544850939,006280
-0.00446427309739228,034020
-0.00829384875747206,003490
-0.00209119382234343,267250
7.19598009526479e-06,000720
0.000709150003207818,005830
,010140
0.00255069793254425,128940
-0.000628325097397564,241560
0.00219463504188323,012750
-0.000298345763425428,078930
-0.00837699586001851,012510
0.00504787714631684,011200
0.00314723013109956,004990
-0.000382698517450329,005387
-0.000250468383015861,008770
-0.000717600185463074,016360
0.00179863466779637,026960
0.00434409243913545,003410
-0.00115859304575418,011790
-0.00170112104938988,005940
-0.0032900480317061,000210
-0.00293034640363552,036460
0.000481012042165939,007070
0.00529967687024543,081660
-0.00261560628241564,030000
0.00591503369858337,252670
-0.00352150402754682,023530
0.00245600530336674,051915
-0.00144365083652924,000080
-0.00791042367199681,039490
,102110
,042660
-0.000417632906167038,028050
0.00224382341427263,008560
-0.00390653565503918,001040
0.00174082441954238,006360
0.000309117349766908,009240
-0.00614703202124134,001450
,047810
0.000922110145789329,282330
-0.00577732202919326,004170
,153130
,122630
0.00540823704680049,020150
-0.0016279839866503,007310
-0.00327731318794568,005385
-0.000441438422682516,028670
0.00305753385112067,138930
0.0013929300225674,000880
-0.00693055528962298,112610
-0.00323059951051176,042670
0.00254495716076737,204320
0.00236425305185359,004370
